Month,Hour,Tide_Height_m,Tide_Trend,Pressure_hPa,Press_Trend,Wind_Speed,Wind_Sin,Wind_Cos,Soil_Moisture,QC_Rain_mm,QC_Rain_Lag1,QC_Rain_Lag2,QC_3hr_Sum,QC_6hr_Sum,Marulas_Rain_mm,Mar_Rain_Lag1,Mar_Rain_Lag2,Mar_3hr_Sum,Mar_24hr_Sum,Target_Alert_Class
9,11,-0.073,0.064,1006.5,0.0,24.4,-0.7193,-0.6947,0.391,1.0,0.1,0.2,1.299999999999993,2.200000000000011,0.1,0.1,0.2,0.40000000000001534,9.399999999999999,1.0
9,12,0.036,0.109,1006.2,-0.3,25.6,-0.8192,-0.5736,0.396,2.3,1.0,0.1,3.399999999999993,4.3000000000000105,1.1,0.1,0.1,1.3000000000000154,10.299999999999999,1.0
9,13,0.068,0.032,1005.9,-0.3,27.0,-0.7193,-0.6947,0.395,2.7,2.3,1.0,5.999999999999993,6.900000000000011,0.4,1.1,0.1,1.6000000000000152,10.499999999999998,1.0
9,14,0.06,-0.008,1005.5,-0.4,25.3,-0.766,-0.6428,0.395,0.9,2.7,2.3,5.899999999999993,7.200000000000011,0.5,0.4,1.1,2.0000000000000155,10.7,1.0
9,15,0.089,0.029,1005.5,0.0,20.4,-0.809,-0.5878,0.394,0.3,0.9,2.7,3.8999999999999932,7.300000000000011,0.4,0.5,0.4,1.3000000000000154,10.399999999999999,0.0
9,16,0.162,0.073,1006.1,0.6,22.5,-0.891,-0.454,0.399,0.3,0.3,0.9,1.499999999999993,7.500000000000011,0.9,0.4,0.5,1.8000000000000154,10.799999999999999,0.0
9,17,0.136,-0.026,1006.4,0.3,11.2,-0.7431,-0.6691,0.412,2.7,0.3,0.3,3.299999999999993,9.20000000000001,1.8,0.9,0.4,3.1000000000000156,12.499999999999998,0.0
9,18,0.127,-0.009,1006.7,0.3,8.3,-0.829,-0.5592,0.412,0.6,2.7,0.3,3.5999999999999934,7.500000000000011,0.6,1.8,0.9,3.3000000000000154,12.999999999999998,0.0
9,19,0.069,-0.058,1007.0,0.3,8.8,-0.9455,-0.3256,0.411,0.5,0.6,2.7,3.799999999999993,5.3000000000000105,0.5,0.6,1.8,2.9000000000000155,12.699999999999998,0.0
9,20,0.072,0.003,1007.2,0.2,4.1,-0.9659,0.2588,0.419,0.2,0.5,0.6,1.299999999999993,4.60000000000001,0.2,0.5,0.6,1.3000000000000154,11.299999999999999,0.0
9,21,0.121,0.049,1007.9,0.7,5.1,-0.9976,0.0698,0.419,0.3,0.2,0.5,0.9999999999999929,4.60000000000001,0.4,0.2,0.5,1.1000000000000154,11.399999999999999,0.0
9,22,0.257,0.136,1008.3,0.4,4.3,-0.6691,0.7431,0.418,0.2,0.3,0.2,0.6999999999999929,4.500000000000011,0.2,0.4,0.2,0.8000000000000154,11.299999999999999,0.0
9,23,0.414,0.157,1008.2,-0.1,3.1,0.3584,-0.9336,0.417,0.2,0.2,0.3,0.6999999999999929,2.0000000000000107,0.2,0.2,0.4,0.8000000000000154,11.099999999999998,0.0
9,0,0.527,0.113,1007.7,-0.5,5.2,0.2079,-0.9781,0.415,0.3,0.2,0.2,0.6999999999999929,1.7000000000000106,0.2,0.2,0.2,0.6000000000000001,10.899999999999999,0.0
